ID	TW	CN	JP	CP950	CP936	GB2312	GBK
1	4E08	4E08	4E08	4E08	4E08	4E08	4E08
2	4E10	4E10		4E10	4E10	4E10	4E10
3	4E0D	4E0D	4E0D	4E0D	4E0D	4E0D	4E0D
4	4E14	4E14	4E14	4E14	4E14	4E14	4E14
5	4E16	4E16	4E16	4E16	4E16	4E16	4E16
6	4E15	4E15		4E15	4E15	4E15	4E15
7	4E1F	4E22		4E1F	4E22	4E22	4E22
8	4E2D	4E2D	4E2D	4E2D	4E2D	4E2D	4E2D
9	4E39	4E39	4E39	4E39	4E39	4E39	4E39
10	4E45	4E45	4E45	4E45	4E45	4E45	4E45
11	4E4B	4E4B		4E4B	4E4B	4E4B	4E4B
12	4E58	4E58	4E57	4E58	4E58	4E58	4E58
13	4E82	4E71	4E71	4E82	4E71	4E71	4E71
14	4E8B	4E8B	4E8B	4E8B	4E8B	4E8B	4E8B
15	4E0B	4E0B	4E0B	4E0B	4E0B	4E0B	4E0B
16	4E0A	4E0A	4E0A	4E0A	4E0A	4E0A	4E0A
17	4E94	4E94	4E94	4E94	4E94	4E94	4E94
18	4E9E	4E9A	4E9C	4E9E	4E9A	4E9A	4E9A
19	4E9F	4E9F		4E9F	4E9F	4E9F	4E9F
20	4EA1	4EA1	4EA1	4EA1	4EA1	4EA1	4EA1
21	4EA6	4EA6		4EA6	4EA6	4EA6	4EA6
22	4EA5	4EA5		4EA5	4EA5	4EA5	4EA5
23	4EAB	4EAB	4EAB	4EAB	4EAB	4EAB	4EAB
24	4EAC	4EAC	4EAC	4EAC	4EAC	4EAC	4EAC
25	4EBA	4EBA	4EBA	4EBA	4EBA	4EBA	4EBA
26	4EC1	4EC1	4EC1	4EC1	4EC1	4EC1	4EC1
27	4EC4	4EC4		4EC4	4EC4	4EC4	4EC4
28	4EE4	4EE4	4EE4	4EE4	4EE4	4EE4	4EE4
29	4EDE	4EDE		4EDE	4EDE	4EDE	4EDE
30	4ED9	4ED9	4ED9	4ED9	4ED9	4ED9	4ED9
31	4EE5	4EE5	4EE5	4EE5	4EE5	4EE5	4EE5
32	4EFF	4EFF	5023	4EFF	4EFF	4EFF	4EFF
33	4F11	4F11	4F11	4F11	4F11	4F11	4F11
34	4F47	4F2B		4F47	4F2B	4F2B	4F2B
35	4F3A	4F3A	4F3A	4F3A	4F3A	4F3A	4F3A
36	4F5E	4F5E		4F5E	4F5E	4F5E	4F5E
37	4F38	4F38	4F38	4F38	4F38	4F38	4F38
38	4F3C	4F3C	4F3C	4F3C	4F3C	4F3C	4F3C
39	4F4E	4F4E	4F4E	4F4E	4F4E	4F4E	4F4E
40	4F75	4F75	4F75	4F75	4F75
41	4F7F	4F7F	4F7F	4F7F	4F7F	4F7F	4F7F
42	4F8B	4F8B	4F8B	4F8B	4F8B	4F8B	4F8B
43	4F83	4F83		4F83	4F83	4F83	4F83
44	4F7B	4F7B		4F7B	4F7B	4F7B	4F7B
45	4F88	4F88		4F88	4F88	4F88	4F88
46	4F7E	4F7E		4F7E	4F7E	4F7E	4F7E
47	4FE1	4FE1	4FE1	4FE1	4FE1	4FE1	4FE1
48	4FB5	4FB5	4FB5	4FB5	4FB5	4FB5	4FB5
49	4FAF	4FAF	4FAF	4FAF	4FAF	4FAF	4FAF
50	4FBF	4FBF	4FBF	4FBF	4FBF	4FBF	4FBF
51	4FDE	4FDE		4FDE	4FDE	4FDE	4FDE
52	4FE0	4FA0		4FE0	4FA0	4FA0	4FA0
53	4FB6	4FA3	4FB6	4FB6	4FA3	4FA3	4FA3
54	4FDF	4FDF		4FDF	4FDF	4FDF	4FDF
55	4FCA	4FCA	4FCA	4FCA	4FCA	4FCA	4FCA
56	4FAE	4FAE	4FAE	4FAE	4FAE	4FAE	4FAE
57	4FCE	4FCE		4FCE	4FCE	4FCE	4FCE
58	500D	500D	500D	500D	500D	500D	500D
59	5026	5026		5026	5026	5026	5026
60	5011	4EEC		5011	4EEC	4EEC	4EEC
61	5014	5014		5014	5014	5014	5014
62	5006	4FE9		5006	4FE9	4FE9	4FE9
63	503C	503C	5024	503C	503C	503C	503C
64	501A	501A		501A	501A	501A	501A
65	4FF1	4FF1		4FF1	4FF1	4FF1	4FF1
66	5019	5019	5019	5019	5019	5019	5019
67	5000	4F25		5000	4F25	4F25	4F25
68	46EE	5003			5003		5003
69	502B	4F26	502B	502B	4F26	4F26	4F26
70	5049	4F1F	5049	5049	4F1F	4F1F	4F1F
71	5074	4FA7	5074	5074	4FA7	4FA7	4FA7
72	5075	4FA6	5075	5075	4FA6	4FA6	4FA6
73	500F	500F		500F	500F	500F	500F
74	508D	508D	508D	508D	508D	508D	508D
75	5099	5907	5099	5099	5907	5907	5907
76	5096	4F27		5096	4F27	4F27	4F27
77	5098	4F1E	5098	5098	4F1E	4F1E	4F1E
78	50B3	4F20	4F1D	50B3	4F20	4F20	4F20
79	50B5	503A	50B5	50B5	503A	503A	503A
80	50BE	503E	50BE	50BE	503E	503E	503E
81	50B7	4F24	50B7	50B7	4F24	4F24	4F24
82	50AF	506C		50AF	506C	506C	506C
83	50E7	50E7	50E7	50E7	50E7	50E7	50E7
84	50EE	50EE		50EE	50EE	50EE	50EE
85	50E5	4FA5		50E5	4FA5	4FA5	4FA5
86	50DA	50DA	50DA	50DA	50DA	50DA	50DA
87	5104	4EBF	5104	5104	4EBF	4EBF	4EBF
88	50FB	50FB		50FB	50FB	50FB	50FB
89	50F5	50F5		50F5	50F5	50F5	50F5
90	5102	4FAC		5102	4FAC	4FAC	4FAC
91	5108	4FA9		5108	4FA9	4FA9	4FA9
92	50BB	50BB		50BB	50BB	50BB	50BB
93	5109	4FED	5039	5109	4FED	4FED	4FED
94	5110	50A7		5110	50A7	50A7	50A7
95	5114	4FE6		5114	4FE6	4FE6	4FE6
96	512A	4F18	512A	512A	4F18	4F18	4F18
97	511F	507F	511F	511F	507F	507F	507F
98	5121	5121		5121	5121	5121	5121
99	5132	50A8		5132	50A8	50A8	50A8
100	5137	4FEA		5137	4FEA	4FEA	4FEA
101	513C	4FE8		513C	4FE8	4FE8	4FE8
102	5140	5140		5140	5140	5140	5140
103	5145	5145	5145	5145	5145	5145	5145
104	5146	5146	5146	5146	5146	5146	5146
105	5149	5149	5149	5149	5149	5149	5149
106	514C	5151		514C	5151	5151	5151
107	514D	514D	514D	514D	514D	514D	514D
108	5154	5154		5154	5154	5154	5154
109	5152	513F	5150	5152	513F	513F	513F
110	5157	5156		5157	5156	5156	5156
111	5167	5185	5185	5167	5185	5185	5185
112	5169	4E24	4E21	5169	4E24	4E24	4E24
113	516D	516D	516D	516D	516D	516D	516D
114	516C	516C	516C	516C	516C	516C	516C
115	5176	5176		5176	5176	5176	5176
116	5178	5178	5178	5178	5178	5178	5178
