ID	TW	CN	JP	KO	CP950	CP936	GB2312	GBK
1	51F6	51F6	51F6		51F6	51F6	51F6	51F6
2	514B	514B	514B		514B	514B	514B	514B
3	5442	8182	5442		5442	8182	8182	8182
4	54FA	54FA	54FA		54FA	54FA	54FA	54FA
5	5C6F	5C6F	5C6F		5C6F	5C6F	5C6F	5C6F
6	5A18	5A18	5A18		5A18	5A18	5A18	5A18
7	5C40	5C40	5C40		5C40	5C40	5C40	5C40
8	51E0	51E0	5E7E		51E0	51E0	51E0	51E0
9	540E	540E	540E		540E	540E	540E	540E
10	64FA	6446			64FA	6446	6446	6446
11	676F	676F	676F		676F	676F	676F	676F
12	68CB	68CB	68CB		68CB	68CB	68CB	68CB
13	6B23	6B23			6B23	6B23	6B23	6B23
14	6B78	5F52	5E30		6B78	5F52	5F52	5F52
15	6CC4	6CC4			6CC4	6CC4	6CC4	6CC4
16	51C6	51C6	51C6		51C6	51C6	51C6	51C6
17	4E86	4E86	4E86		4E86	4E86	4E86	4E86
18	8303	8303	7BC4		8303	8303	8303	8303
19	7D2F	7D2F	7D2F		7D2F	7D2F	7D2F	7D2F
20	81F4	81F4	81F4		81F4	81F4	81F4	81F4
21	4FEE	4FEE	4FEE		4FEE	4FEE	4FEE	4FEE
22	87CB	87CB			87CB	87CB	87CB	87CB
23	5629	54D7			5629	54D7	54D7	54D7
24	54B8	54B8			54B8	54B8	54B8	54B8
25	5768	5768			5768	5768	5768	5768
26	9EBB	9EBB	9EBB		9EBB	9EBB	9EBB	9EBB
27	9709	9709			9709	9709	9709	9709
28	9AD2	810F	81D3		9AD2	810F	810F	810F
29	932B	9521			932B	9521	9521	9521
30	4E91	4E91	96F2		4E91	4E91	4E91	4E91
31	51FA	51FA	51FA		51FA	51FA	51FA	51FA
32	70EF	70EF			70EF	70EF	70EF	70EF
33	6A6F	8022			6A6F	8022	8022	8022
34	624D	624D	624D		624D	624D	624D	624D
36	5E72	5E72	5E72		5E72	5E72	5E72	5E72
37	5E72	5E72	5E72		5E72	5E72	5E72	5E72
38	7CFB	7CFB	7CFB		7CFB	7CFB	7CFB	7CFB
39	7CFB	7CFB	7CFB		7CFB	7CFB	7CFB	7CFB
40	76E1	5C3D	5C3D		76E1	5C3D	5C3D	5C3D
41	532F	6C47			532F	6C47	6C47	6C47
42	53EA	53EA	96BB		53EA	53EA	53EA	53EA
44	7576	5F53	5F53		7576	5F53	5F53	5F53
45	5718	56E2	56E3		5718	56E2	56E2	56E2
46	58C7	575B	58C7		58C7	575B	575B	575B
47	91C7	91C7	91C7		91C7	91C7	91C7	91C7
48	91C7	91C7	91C7		91C7	91C7	91C7	91C7
49	60E1	6076	60AA		60E1	6076	6076	6076
50	5386	5386	66A6		6B77	5386	5386	5386
52	677E	677E	677E		677E	677E	677E	677E
53	6C96	51B2	6C96		6C96	51B2	51B2	51B2
54	7A6B	83B7	7A6B		7A6B	83B7	83B7	83B7
55	767C	53D1	53D1		767C	53D1	53D1	53D1
57	8499	8499	8499		8499	8499	8499	8499
60	7C3D	7B7E			7C3D	7B7E	7B7E	7B7E
61	80E1	80E1			80E1	80E1	80E1	80E1
62	80E1	80E1			80E1	80E1	80E1	80E1
63	80E1	80E1			80E1	80E1	80E1	80E1
64	7E96	7EA4	7E4A		7E96	7EA4	7EA4	7EA4
65	7E34	7EA4			7E34	7EA4	7EA4	7EA4
66	8F9F	8F9F			8F9F	8F9F	8F9F	8F9F
67	9808	987B	9808		9808	987B	987B	987B
68	6881	6881			6881	6881	6881	6881
69	5225	522B	5225		5225	522B	522B	522B
70	7159	70DF	7159		7159	70DF	70DF	70DF
71	4E11	4E11	919C		4E11	4E11	4E11	4E11
