4E08	2000B
4E09	53C1
4E09	53C2
4E09	53C3
4E0A	4E04
4E0B	4E05
4E0D	2001A
4E10	5304
4E14	20003
4E15	20993
4E16	353A
4E16	4E17
4E16	534B
4E1F	4E22
4E2D	20066
4E39	38CB
4E45	4E46
4E4B	37A2
4E58	4E57
4E82	4E71
4E86	4E86
4E8B	4E8A
4E8B	53D3
4E8C	5F0D
4E8C	5F10
4E8C	8CAE
4E8C	8CB3
4E8C	8D30
4E94	20121
4E94	3405
4E9E	4E9A
4E9E	4E9C
4E9F	710F
4EA1	4EBE
4EA1	5166
4EA5	20987
4EA6	215D5
4EAB	4EAF
4EAC	4EB0
4EBA	24BD4
4EC1	5FC8
4EC1	5FCE
4EC4	20A2E
4ED5	4ED5
4ED9	34A8
4ED9	50F2
4EDE	4EED
4EE4	F9A8
4EE5	3565
4EFF	3442
4EFF	5023
4EFF	9AE3
4F11	201FE
4F38	62BB
4F3A	8997
4F3C	4F40
4F47	4F2B
4F47	7ADA
4F4E	4EFE
4F5E	4FAB
4F70	4F70
4F75	5002
4F7B	224DD
4F7E	2250D
4F7F	20255
4F83	5058
4F88	2020E
4F8B	20296
4FAE	3444
4FAF	77E6
4FB5	22500
4FB5	3474
4FB6	4FA3
4FB7	4FB7
4FBF	202B3
4FCA	347A
4FCA	5101
4FCE	723C
4FDE	516A
4FDF	7AE2
4FE0	4FA0
4FE1	3430
4FE1	46B1
4FE1	4F29
4FE1	8A2B
4FF1	5036
5000	4F25
5003	46EE
5006	20213
500D	4FD6
500F	5010
5011	4EEC
5014	292CE
5019	202B1
501A	202E3
5026	2026E
502B	4F26
503C	5024
5049	4F1F
5074	4FA7
5075	4FA6
5075	9049
507D	4F2A
507D	50DE
508D	20293
5096	4F27
5098	4F1E
5098	7E56
5099	4FFB
5099	5079
5099	5907
50AF	506C
50B3	4F1D
50B3	4F20
50B5	503A
50B7	4F24
50BB	510D
50BE	503E
50D1	376F
50D1	4EEA
50D1	4FA8
50D1	5100
50DA	203D7
50E5	4FA5
50E5	510C
50E7	2F80A
50EE	5045
50F5	6BAD
50FB	204B1
5102	4FAC
5104	2033C
5104	4EBF
5108	4FA9
5109	4FED
5109	5039
5110	50A7
5114	2037B
5114	4FE6
511F	507F
5121	261C4
512A	4F18
5132	50A8
5137	2041A
5137	4FEA
513C	4FE8
5140	3433
5145	2047D
5146	209DE
5147	51F6
5149	706E
5149	7097
514B	514B
514C	514A
514C	5151
514D	2F80E
5152	20486
5152	513F
5152	5150
5154	2F80F
5154	514E
5157	5156
5167	215E0
5167	5185
5169	34B3
5169	4E21
5169	4E24
516B	634C
516C	34B6
516D	20AEA
5171	5171
5176	4E0C
5176	4E93
5178	25B8F
5178	44E6
5180	4E20
5180	517E
5189	5184
518A	25B30
518A	518C
518A	7B27
518D	20545
5192	5190
51A5	23A46
51A5	41A9
51B0	4ECC
51B0	6C37
51B7	20624
51B7	F92E
51C6	51C6
51CD	51BB
51DC	20621
51DC	51DB
51E0	51E0
51F0	4CE8
51F1	51EF
51F6	51F6
51F6	5FF7
5200	5202
5203	5204
5207	2F850
520E	6B7E
5211	206EC
5211	34DD
5217	2073A
5229	25762
522A	5220
5230	4452
5237	355E
523B	20707
523B	207AB
5241	5234
5243	9B00
5243	9B04
524B	514B
524B	5C05
524D	6B6C
5254	20713
