# big5 unicode
01FFFD 0181
01FFFD 0182
01FFFD 0183
01FFFD 0184
01FFFD 0185
01FFFD 0186
01FFFD 0187
01FFFD 0188
01FFFD 0189
01FFFD 018A
01FFFD 018B
01FFFD 018C
01FFFD 018D
01FFFD 018E
01FFFD 018F
01FFFD 0190
01FFFD 0191
01FFFD 0192
01FFFD 0193
01FFFD 0194
01FFFD 0195
01FFFD 0196
01FFFD 0197
01FFFD 0198
01FFFD 0199
01FFFD 019A
01FFFD 019B
01FFFD 019C
01FFFD 019D
01FFFD 019E
01FFFD 019F
01FFFD 01A0
01A0DF 01A1
01A246 01A2
01A247 01A3
01A0FC 01A4
01A244 01A5
017C20 01A6
01A1B1 01A7
01C6D8 01A8
016320 01A9
01A0DE 01AA
01FFFD 01AB
01FFFD 01AC
012D20 01AD
0197FB 01AE
01A1C2 01AF
01A258 01B0
01A1D3 01B1
013220 01B2
013320 01B3
01A1AC 01B4
01A367 01B5
0191F8 01B6
01A150 01B7
01A0FB 01B8
013120 01B9
01A0EE 01BA
01FFFD 01BB
01FEB3 01BC
01FEB0 01BD
01FEB4 01BE
01A0EF 01BF
01A0A7 01C0
01A0AC 01C1
01A0F6 01C2
01A0BE 01C3
01A0B6 01C4
01A0D6 01C5
01A0BB 01C6
01A0BC 01C7
01A0A8 01C8
01A0D7 01C9
01A0F7 01CA
01A0B7 01CB
01A0A9 01CC
01A0AD 01CD
01A0F8 01CE
01A0B8 01CF
01A0DA 01D0
01A0BD 01D1
01A0AA 01D2
01A0AE 01D3
01A0F9 01D4
01A0BF 01D5
01A0B9 01D6
01A1D1 01D7
01A0D9 01D8
01A0AB 01D9
01A0AF 01DA
01A0FA 01DB
01A0BA 01DC
015920 01DD
01A0DC 01DE
01A0DD 01DF
01A0E0 01E0
01A0C0 01E1
01A0F0 01E2
01A0CE 01E3
01A0C6 01E4
01A0E6 01E5
01A0CB 01E6
01A0CC 01E7
01A0E1 01E8
01A0C1 01E9
01A0F1 01EA
01A0C7 01EB
01A0E2 01EC
01A0C2 01ED
01A0F2 01EE
01A0C8 01EF
01A0EA 01F0
01A0CD 01F1
01A0E3 01F2
01A0C3 01F3
01A0F3 01F4
01A0CF 01F5
01A0C9 01F6
01A1D2 01F7
01A0E9 01F8
01A0E4 01F9
01A0C4 01FA
01A0F4 01FB
01A0CA 01FC
017920 01FD
01A0EC 01FE
01A0ED 01FF
01FFFD 010100
01A0B0 010101
01FFFD 010102
01FFFD 010103
01FFFD 010104
01FFFD 010105
01FFFD 010106
01FFFD 010107
01FFFD 010108
01FFFD 010109
01FFFD 01010A
01FFFD 01010B
01FFFD 01010C
01FFFD 01010D
01FFFD 01010E
01FFFD 01010F
01FFFD 010110
01FFFD 010111
01FFFD 010112
01A0B1 010113
01FFFD 010114
01FFFD 010115
01FFFD 010116
01FFFD 010117
01FFFD 010118
01FFFD 010119
01FFFD 01011A
01A0D1 01011B
01FFFD 01011C
01FFFD 01011D
01FFFD 01011E
01FFFD 01011F
01FFFD 010120
01FFFD 010121
01FFFD 010122
01FFFD 010123
01FFFD 010124
01FFFD 010125
01FFFD 010126
01FFFD 010127
01FFFD 010128
01FFFD 010129
01FFFD 01012A
01A0B2 01012B
01FFFD 01012C
01FFFD 01012D
01FFFD 01012E
01FFFD 01012F
01FFFD 010130
01FFFD 010131
01FFFD 010132
01FFFD 010133
01FFFD 010134
01FFFD 010135
01FFFD 010136
01FFFD 010137
01FFFD 010138
01FFFD 010139
01FFFD 01013A
01FFFD 01013B
01FFFD 01013C
01FFFD 01013D
01FFFD 01013E
01FFFD 01013F
01FFFD 010140
01FFFD 010141
01FFFD 010142
01FFFD 010143
01FFFD 010144
01FFFD 010145
01FFFD 010146
01FFFD 010147
01FFFD 010148
01FFFD 010149
019BD5 01014A
01FFFD 01014B
01FFFD 01014C
01A0B3 01014D
01FFFD 01014E
01FFFD 01014F
01FFFD 010150
01FFFD 010151
01FFFD 010152
019BE5 010153
01FFFD 010154
01FFFD 010155
01FFFD 010156
01FFFD 010157
01FFFD 010158
01FFFD 010159
01FFFD 01015A
01FFFD 01015B
01FFFD 01015C
01FFFD 01015D
01FFFD 01015E
01FFFD 01015F
01FFFD 010160
01FFFD 010161
